AgeGroup,Date,Country,Female,Male,Total,Date2
40 to 49,31/07/2021,France,1084,999,2102,2021-07-31
50  to 59,31/07/2021,France,744,686,1436,2021-07-31
60 to 69,31/07/2021,France,449,335,790,2021-07-31
70 to 79,31/07/2021,France,212,184,397,2021-07-31
80 to 89,31/07/2021,France,104,69,173,2021-07-31
90+,31/07/2021,France,32,19,51,2021-07-31
0 to 9,01/08/2021,France,127,120,253,2021-08-01
10 to 19,01/08/2021,France,362,372,762,2021-08-01
20 to 29,01/08/2021,France,623,593,1267,2021-08-01
30 to 39,01/08/2021,France,419,445,890,2021-08-01
40 to 49,01/08/2021,France,314,254,576,2021-08-01
50  to 59,01/08/2021,France,222,192,417,2021-08-01
60 to 69,01/08/2021,France,102,107,213,2021-08-01
70 to 79,01/08/2021,France,53,51,105,2021-08-01
80 to 89,01/08/2021,France,43,36,80,2021-08-01
90+,01/08/2021,France,17,8,25,2021-08-01
0 to 9,02/08/2021,France,857,832,1719,2021-08-02
10 to 19,02/08/2021,France,2996,2818,5893,2021-08-02
20 to 29,02/08/2021,France,4011,3996,8082,2021-08-02
30 to 39,02/08/2021,France,3333,3135,6522,2021-08-02
40 to 49,02/08/2021,France,2588,2121,4731,2021-08-02
50  to 59,02/08/2021,France,1870,1673,3559,2021-08-02
60 to 69,02/08/2021,France,998,846,1849,2021-08-02
70 to 79,02/08/2021,France,555,409,967,2021-08-02
80 to 89,02/08/2021,France,286,183,471,2021-08-02
90+,02/08/2021,France,141,58,199,2021-08-02
0 to 9,03/08/2021,France,677,672,1377,2021-08-03
10 to 19,03/08/2021,France,2372,2171,4621,2021-08-03
20 to 29,03/08/2021,France,3171,3083,6321,2021-08-03
30 to 39,03/08/2021,France,2480,2296,4818,2021-08-03
40 to 49,03/08/2021,France,1958,1592,3569,2021-08-03
50  to 59,03/08/2021,France,1479,1229,2722,2021-08-03
60 to 69,03/08/2021,France,850,658,1519,2021-08-03
70 to 79,03/08/2021,France,400,380,782,2021-08-03
80 to 89,03/08/2021,France,255,164,419,2021-08-03
90+,03/08/2021,France,151,33,184,2021-08-03
0 to 9,04/08/2021,France,623,628,1270,2021-08-04
10 to 19,04/08/2021,France,2201,2081,4350,2021-08-04
20 to 29,04/08/2021,France,3140,3134,6366,2021-08-04
30 to 39,04/08/2021,France,2462,2244,4750,2021-08-04
40 to 49,04/08/2021,France,1821,1605,3451,2021-08-04
50  to 59,04/08/2021,France,1410,1056,2480,2021-08-04
60 to 69,04/08/2021,France,777,636,1426,2021-08-04
70 to 79,04/08/2021,France,425,348,778,2021-08-04
80 to 89,04/08/2021,France,235,165,401,2021-08-04
90+,04/08/2021,France,167,64,231,2021-08-04
0 to 9,05/08/2021,France,723,700,1446,2021-08-05
10 to 19,05/08/2021,France,2145,1991,4209,2021-08-05
20 to 29,05/08/2021,France,2942,2830,5859,2021-08-05
30 to 39,05/08/2021,France,2461,2276,4779,2021-08-05
40 to 49,05/08/2021,France,1881,1534,3444,2021-08-05
50  to 59,05/08/2021,France,1328,1106,2446,2021-08-05
60 to 69,05/08/2021,France,744,615,1366,2021-08-05
70 to 79,05/08/2021,France,408,315,725,2021-08-05
80 to 89,05/08/2021,France,219,133,352,2021-08-05
90+,05/08/2021,France,124,42,166,2021-08-05
0 to 9,06/08/2021,France,659,718,1405,2021-08-06
10 to 19,06/08/2021,France,2159,2175,4418,2021-08-06
20 to 29,06/08/2021,France,2869,2818,5767,2021-08-06
30 to 39,06/08/2021,France,2500,2248,4790,2021-08-06
40 to 49,06/08/2021,France,1972,1598,3600,2021-08-06
50  to 59,06/08/2021,France,1356,1194,2568,2021-08-06
60 to 69,06/08/2021,France,859,593,1462,2021-08-06
70 to 79,06/08/2021,France,410,367,778,2021-08-06
80 to 89,06/08/2021,France,223,160,384,2021-08-06
90+,06/08/2021,France,115,49,164,2021-08-06
0 to 9,07/08/2021,France,457,450,923,2021-08-07
10 to 19,07/08/2021,France,1463,1441,2961,2021-08-07
20 to 29,07/08/2021,France,1983,1893,3961,2021-08-07
30 to 39,07/08/2021,France,1681,1552,3279,2021-08-07
40 to 49,07/08/2021,France,1272,1098,2388,2021-08-07
50  to 59,07/08/2021,France,933,771,1724,2021-08-07
60 to 69,07/08/2021,France,506,389,901,2021-08-07
70 to 79,07/08/2021,France,265,200,466,2021-08-07
80 to 89,07/08/2021,France,128,99,227,2021-08-07
90+,07/08/2021,France,37,28,65,2021-08-07
